id_venda,carro_id,cliente_id,vendedor_id,data_venda,valor_venda
1,153,589,3,2025-03-22,94964
2,585,561,27,2025-02-02,147454
3,457,284,8,2021-07-13,92146
4,39,757,10,2020-10-04,69770
5,946,866,24,2025-07-05,98011
6,900,90,16,2021-08-01,129718
7,576,885,22,2023-02-10,42000
8,279,772,23,2024-02-04,71371
9,894,697,12,2024-03-10,63868
10,56,824,27,2021-04-24,135328
11,725,564,26,2022-03-17,50131
12,79,487,2,2021-01-11,72569
13,872,515,6,2023-10-02,146338
14,797,138,16,2023-12-04,49049
15,681,796,11,2021-06-21,73672
16,481,327,28,2025-02-15,60032
17,648,301,10,2022-12-14,130246
18,783,464,10,2022-04-10,50366
19,678,101,12,2022-01-23,55747
20,396,518,27,2025-05-29,130715
21,912,774,8,2023-09-28,72361
22,522,819,9,2021-11-07,73754
23,642,946,17,2022-06-15,134348
24,460,64,5,2023-06-11,72793
25,257,730,19,2022-04-10,73594
26,100,648,27,2024-11-16,75165
27,274,563,2,2023-02-25,141333
28,364,454,3,2022-10-21,80098
29,626,603,1,2022-09-01,108677
30,463,810,4,2023-08-15,65483
31,95,424,22,2023-10-15,71184
32,935,871,15,2020-09-04,107604
33,652,848,29,2020-08-22,134437
34,230,391,16,2024-03-31,88266
35,354,191,13,2024-12-30,99752
36,384,178,16,2021-09-23,125502
37,805,251,6,2024-04-20,106430
38,159,431,18,2024-03-01,127786
39,90,762,28,2023-01-08,132635
40,80,23,7,2021-04-23,87498
41,524,670,9,2024-04-30,149027
42,114,104,16,2023-01-30,76408
43,211,896,5,2024-03-15,132343
44,22,350,21,2022-09-28,61331
45,827,337,4,2022-03-23,74184
46,497,475,3,2022-07-09,135274
47,103,255,2,2023-01-06,82009
48,608,676,5,2023-09-15,93455
49,939,259,21,2024-05-10,138423
50,636,96,27,2021-03-19,52883
51,256,102,13,2024-09-27,54850
52,897,729,10,2021-04-14,147471
53,838,133,13,2020-12-30,93886
54,385,70,15,2021-12-19,65192
55,335,75,6,2023-01-23,49919
56,916,468,10,2023-10-30,51999
57,439,304,18,2024-09-13,141870
58,903,482,2,2024-01-30,88402
59,616,876,21,2022-05-04,76449
60,329,451,26,2024-01-16,114282
61,191,6,8,2021-08-15,41933
62,323,393,15,2024-03-22,44408
63,663,259,16,2020-12-22,100198
64,232,307,9,2022-03-08,75323
65,190,231,19,2022-07-30,121445
66,433,326,7,2025-01-25,90748
67,528,236,25,2024-02-24,143943
68,438,597,21,2025-06-26,60309
69,874,659,21,2023-12-08,145108
70,948,106,28,2020-11-29,82001
71,813,877,1,2023-12-21,124866
72,163,835,7,2023-04-09,99325
73,974,57,14,2022-06-21,86834
74,855,190,3,2021-12-04,62462
75,462,752,28,2020-11-08,114814
76,87,87,26,2021-09-30,119778
77,174,831,3,2022-01-08,105808
78,327,741,5,2022-05-27,65814
79,534,489,3,2021-10-11,78774
80,295,153,14,2023-10-09,105102
81,154,242,26,2023-12-31,105406
82,676,404,29,2023-11-03,79335
83,763,951,12,2022-09-12,54179
84,140,640,28,2025-04-07,78349
85,333,657,12,2022-01-14,101912
86,929,373,28,2022-10-07,66617
87,716,55,19,2022-04-13,118121
88,931,451,20,2022-03-11,135873
89,533,359,26,2022-05-19,90126
90,409,839,19,2022-08-31,119412
91,670,977,16,2023-11-05,105943
92,857,803,6,2025-07-17,58473
93,157,504,15,2025-05-12,108057
94,978,554,9,2024-10-23,118980
95,564,993,1,2022-07-26,108149
96,312,240,9,2021-05-30,149162
97,584,178,11,2025-04-15,122700
98,316,370,14,2025-04-18,133397
99,254,771,27,2022-12-31,116475
100,98,705,30,2021-04-11,84654
101,792,671,24,2024-04-15,87847
102,957,721,4,2021-08-20,148573
103,383,868,3,2024-06-29,84438
104,607,812,4,2022-10-28,75722
105,260,926,30,2021-02-25,140996
106,404,346,15,2021-05-08,48812
107,591,116,26,2022-06-07,56020
108,458,775,26,2025-04-05,117791
109,448,844,6,2022-07-08,108040
110,126,617,12,2022-07-20,43640
111,950,25,20,2022-07-18,61730
112,901,925,13,2022-10-05,58941
113,189,705,22,2023-12-14,117953
114,990,63,13,2020-08-14,53848
115,346,362,26,2023-11-20,141308
116,373,818,7,2022-06-11,147768
117,147,238,11,2025-05-08,91350
118,3,943,21,2023-10-05,88307
119,143,347,27,2023-02-19,62711
120,400,275,8,2021-01-25,63020
121,430,760,15,2023-11-30,55760
122,50,992,28,2022-07-02,123018
123,548,566,13,2020-09-11,76031
124,932,526,7,2024-05-06,44539
125,235,150,21,2020-11-15,133286
126,675,679,1,2022-06-03,81477
127,498,278,4,2023-10-18,50088
128,537,899,7,2020-11-10,62523
129,695,93,13,2023-06-20,128315
130,321,234,9,2024-01-16,48522
131,893,934,6,2021-12-05,128619
132,881,152,18,2023-10-20,54189
133,494,387,15,2024-05-16,79513
134,619,205,24,2024-11-22,106854
135,78,479,3,2022-06-08,101812
136,962,159,2,2021-01-24,46850
137,658,169,23,2023-10-21,61574
138,382,456,22,2024-11-05,100166
139,281,352,6,2021-04-18,125471
140,446,80,8,2024-12-25,56218
141,981,421,10,2022-09-11,121129
142,441,112,30,2025-02-08,122031
143,380,669,9,2021-05-15,58869
144,412,816,26,2022-09-23,93384
145,480,926,17,2025-04-26,75964
146,514,233,21,2025-01-25,111538
147,729,773,28,2021-02-22,134248
148,983,138,3,2023-10-10,73316
149,31,162,29,2023-07-07,80322
150,351,486,21,2025-03-03,53416
151,706,496,14,2021-06-21,55435
152,814,940,10,2024-07-18,131414
153,737,607,6,2020-09-18,71990
154,673,22,3,2021-02-25,55151
155,671,13,29,2024-07-16,71148
156,764,541,27,2022-06-01,58218
157,723,345,28,2022-03-15,53216
158,218,990,11,2024-06-26,135937
159,374,243,17,2024-10-02,143543
160,475,554,17,2023-06-02,43613
161,177,628,7,2023-03-29,147344
162,776,983,16,2023-09-14,70509
163,707,546,3,2023-01-25,120474
164,76,646,28,2023-01-08,69709
165,24,186,11,2023-07-07,123058
166,513,869,29,2023-08-23,126205
167,54,764,19,2023-10-16,77085
168,722,800,5,2025-08-02,114752
169,466,443,8,2023-12-26,67467
170,410,146,9,2021-03-15,123202
171,744,967,24,2021-02-11,141331
172,210,398,5,2023-11-06,118076
173,829,431,7,2023-08-10,59651
174,986,860,5,2023-02-11,126959
175,761,725,25,2020-10-10,149813
176,428,627,17,2025-01-04,68964
177,714,910,2,2023-12-05,77586
178,150,325,25,2023-07-08,145062
179,32,863,27,2021-08-21,138962
180,963,712,9,2023-02-09,66658
181,567,771,2,2024-01-17,133022
182,365,735,5,2025-01-24,76951
183,788,844,13,2024-12-22,108557
184,20,892,11,2023-09-07,135021
185,787,551,19,2025-03-04,79154
186,928,850,29,2024-08-26,75766
187,358,577,27,2023-05-15,118948
188,38,147,1,2024-07-24,126417
189,588,121,11,2020-10-18,55962
190,451,866,8,2022-04-25,42411
191,529,683,23,2022-05-25,61631
